MAIN_ID,RA,DEC,OTYPE,Z_VALUE,FLUX_V,FLUX_g,FLUX_r,ra_center,dec_center,angle,field,coord_x,coord_y,x_mm,y_mm,Z,nuv_mag,NUV_ned,slit_width,slit_length,delta_y_mask,delta_x,em_line,wave,yline_mm
87GB 004432.0+030343,11.77466105461,3.33188467509,Seyfert1,0.624,16.3700008392334,,,11.865604,3.247401,0,1,-3.8633784065302015,3.595230808889591,-3.835275582367941,3.569078532665707,0.624,0,0,0.075,0.44,0,0,1215.67,1974.2480800000003,-1.6236941543934749
TYC   14-370-1,11.57508873526,3.23877002923,Star,-9e-06,10.520000457763672,,,11.865604,3.247401,0,1,-12.342711494745945,-0.3655074696919647,-12.230000194381756,-0.36216972480346565,-9e-06,0,0,0.075,0.44,0,0,,,
SDSS J004637.89+032328.4,11.6579058618085,3.3912026286276,QSO,0.623,,20.65399932861328,20.5935001373291,11.865604,3.247401,0,1,-8.82280847820622,6.120177033782752,-8.74712731768488,6.067678772978739,0.623,0,0,0.075,0.44,0,0,1215.67,1973.03241,0.8012902651603406
SDSS J004727.74+031439.8,11.865604,3.244401,QSO,1.277463,,22.17020034790039,21.948400497436523,11.865604,3.247401,0,1,-0.0,-0.12765957458456367,-0.0,-0.12678416054599845,1.277463,0,0,0.075,0.44,0,0,911.8,2076.5907634,0.8778821261211864
LAMOST J004810.98+030951.8,12.0457484063588,3.1643894014681,Galaxy,0.106662,,18.61334991455078,17.685630798339844,11.865604,3.247401,0,1,7.654064370010125,-3.531746706501564,7.593455245323217,-3.5037803782674253,0.106662,0,0,0.075,0.44,0,0,1908.7,2112.2857594,-0.33757648062326995
SDSS J004804.27+030950.8,12.01779224401,3.16410489972,QSO,1.211359,,19.92099952697754,19.50480079650879,11.865604,3.247401,0,1,6.466244908544512,-3.544043391223353,6.416650190409048,-3.5168613349397564,1.211359,0,0,0.15,5.2,-30,-1000,911.8,2016.3171361999998,-6.162110351325255
SDSS J004745.50+030943.7,11.939587,3.162151,QSO,0.95258,,21.66119956970215,21.456899642944336,11.865604,3.247401,0,1,3.1434245830336778,-3.627550301917368,3.120784577263317,-3.6014234591704604,0.95258,0,0,0.075,0.44,0,0,1033.8,2018.577204,-6.109812352275425
87GB 004432.0+030343,11.77466105461,3.33188467509,Seyfert1,0.624,16.3700008392334,,,11.865604,3.247401,0,1,-3.8633784065302015,3.595230808889591,-3.835275582367941,3.569078532665707,0.624,0,0,0.075,0.44,0,0,1215.67,1974.2480800000003,-1.6236941543934749
UCAC4 467-001098,11.76052526069,3.32996527746,Star,,15.821999549865723,16.211000442504883,15.805999755859375,11.865604,3.247401,0,1,-4.4638956439923625,3.5136137066169706,-4.431130079692689,3.487823333138301,,0,0,0.075,0.44,0,0,,,
LAMOST J004810.98+030951.8,12.0457484063588,3.1643894014681,Galaxy,0.106662,,18.61334991455078,17.685630798339844,11.865604,3.247401,0,1,7.654064370010125,-3.531746706501564,7.593455245323217,-3.5037803782674253,0.106662,0,0,0.075,0.44,0,0,1908.7,2112.2857594,-0.33757648062326995
LEDA 1244880,11.6413,3.09,Galaxy,0.091852,,16.967819213867188,16.410009384155273,11.865604,3.247401,0,1,-9.531058177147617,-6.696926078974123,-9.44640593475523,-6.637445819890143,0.091852,0,0,0.075,0.44,0,0,1908.7,2084.0179124,-5.183022880894712
WiggleZ R01J004625120+03050684,11.6047045,3.085206,Galaxy,0.7213,,21.65999984741211,21.170000076293945,11.865604,3.247401,0,1,-11.086135687165253,-6.900574844863935,-10.981919189869107,-6.835705195063942,0.7213,0,0,0.075,0.44,0,0,1215.67,2092.532771,-4.865658522252973
TYC   14-339-1,12.15660518316,3.20191018404,Star,0.000144,11.430000305175781,,,11.865604,3.247401,0,1,12.363807658888803,-1.9340261069935312,12.250143365012377,-1.9162460089966211,0.000144,0,0,0.075,0.44,0,0,,,
PG 1538+47,234.89504297366,47.59201774303,Seyfert1,0.77,15.8100004196167,16.0851993560791,16.05430030822754,234.89,47.59,120,5,0.0020003594046084233,-0.16826749231658028,0.0019866417205181746,-0.16711357952623898,0.77,0,0,0.075,0.44,0,0,1215.67,2151.7359,5.388023564257769
SDSS J153920.88+472346.8,234.837018,47.396348,Galaxy,0.06625,,17.915000915527344,17.420000076293945,234.89,47.59,120,5,-6.372985200254156,5.441711099494238,-6.32259929811152,5.398688008378841,0.06625,0,0,0.075,0.44,0,0,1908.7,2035.151375,3.8939606365488357
SDSS J153944.01+472405.8,234.933392,47.401617,Galaxy,0.06038,,17.108999252319336,16.739999771118164,234.89,47.59,120,5,-7.566940075267773,2.925632101219236,-7.507611961464358,2.902693868258283,0.06038,0,0,0.075,0.44,0,0,1908.7,2023.9473060000003,0.719495583040858
2MASX J18223094+6404137,275.62841193592,64.07040303589,Galaxy,0.07161,,17.551000595092773,16.851999282836914,275.48,64.36,-70,7,12.521671325995888,-1.6187388262953117,12.406031874047345,-1.6037895383091307,0.07161,0,0,0.075,0.6,0,0,1908.7,2045.382007,-2.488993214098815
SDSS J182223.83+640607.2,275.59932337394,64.10203083515,Star,-0.000649,,15.659000396728516,14.663999557495117,275.48,64.36,-70,7,11.07202865969189,-1.669797494727245,10.97539103817842,-1.655223358111518,-0.000649,0,0,0.075,1.2,0,0,,,
LEDA 2665228,275.672325,64.174395,Galaxy,0.05051,,18.277999877929688,17.695999145507812,275.48,64.36,-70,7,8.6361270015301,0.6507752414360866,8.567233070208548,0.6455837401090078,0.05051,0,0,0.075,0.44,0,0,1908.7,2005.108437,-2.6784165749438666
7C 1821+6419,275.4883876131,64.34339480891,Seyfert1,0.297,14.239999771118164,13.996000289916992,13.824000358581543,275.48,64.36,-70,7,0.7168359436786423,-0.09645119959362608,0.7119146805785521,-0.095789037304325,0.297,0,0,0.075,0.84,0,0,1549.5,2009.7015,-3.141652931664331
SDSS J182144.86+642411.1,275.43691242,64.40309436,Galaxy,0.29359,,20.211000442504883,18.670000076293945,275.48,64.36,-70,7,-1.9943934234593463,-0.11708451226150329,-1.9805971899749688,-0.11627457915123345,0.29359,0,0,0.13,2.44,-20,2000,1549.5,2004.417705,-3.482102695420429
2MASX J18223169+6435287,275.63221617924,64.59134439186,Galaxy,0.05053,,16.61400032043457,15.666999816894531,275.48,64.36,-70,7,-8.303377535761596,5.979787566776119,-8.233462881181538,5.9294376001038,0.05053,0,0,0.075,0.44,0,0,1908.7,2005.146611,2.607748940633153
SDSS J182219.63+643818.5,275.581805,64.638492,Galaxy,0.11452,,19.815000534057617,19.26300048828125,275.48,64.36,-70,7,-10.502874421335783,5.797415316097284,-10.408302885722911,5.745213371464381,0.11452,0,0,0.075,0.44,0,0,1908.7,2127.2843239999997,9.819666747370604
SDSS J182152.84+643859.5,275.470206,64.649877,Galaxy,0.05083,,17.464000701904297,17.038999557495117,275.48,64.36,-70,7,-11.652430360032792,4.0512458781368075,-11.546071945382373,4.014267833587785,0.05083,0,0,0.075,0.44,0,0,1908.7,2005.7192209999998,0.7272540078507346
PN K  1-16,275.46711951582,64.36483508114,PlanetaryNeb,,14.960000038146973,14.729999542236328,15.260000228881836,275.48,64.36,-70,7,-0.27446650367610337,-0.15245296013292103,-0.2725840120525591,-0.1514073264523411,,0,0,0.075,0.44,0,0,,,
